what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342061574367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342061599775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342061663174
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342061671410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342061684293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342061717793
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342061720586
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342061727142
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342061729144
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342061761643
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342061779214
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342061830904
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342061835955
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342061842552
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342062134446
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342062140396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342062141663
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342062144323
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342062154485
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342062160496
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342062164702
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342062172847
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342062180238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342062184874
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1342062187978
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342062190979
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1342062219085
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342062271978
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342062272462
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1342062273763
error,log,,,"Exception occurred while creating compilation participant",1342062273765
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1342062286746
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342062291167
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342062310646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1342062310682
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342062318238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342062326605
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1342062331054
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342062334473
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342062335082
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1342062347801
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1342062348222
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342062348944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342062352854
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342062358245
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1342062378330
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342062383729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342062387507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342062390581
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342062392536
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342062393052
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342062411051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342062429168
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342062429927
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342062435696
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342062437195
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342062440508
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342062450406
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342062471237
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342062486684
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342062501328
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342062504088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342062509750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342062546833
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342062550002
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342062560411
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1342062567282
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1342062567441
