what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341266073391
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341266075092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341278216320
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341278224626
opened,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1341278225893
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1341278227004
opened,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1341278233560
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1341278233636
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1341278235891
closed,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1341278235891
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341278274024
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341278277222
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1341278283289
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341278294482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341278294731
opened,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1341278300277
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1341278300353
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1341278316131
closed,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1341278316131
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341278321102
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1341278322289
closed,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1341278322289
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341278326469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341279164649
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1341279197674
