what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1342027278686
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1342027278746
closed,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1342027278747
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1342027281368
activated,editor,org.python.pydev,2.5.0.2012040618,"org.python.pydev.editor.PythonEditor",1342027281522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027296134
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027305189
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027305661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027309708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027310991
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027312527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027316664
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027331560
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027334970
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027347369
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342027350233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342027356319
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342027360845
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342027366271
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342027375122
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342027375612
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342027381648
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342027384959
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342027389638
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342027390319
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342027399107
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027407689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027411562
executed,command,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1342027414437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027519728
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027520850
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027541997
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027626649
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342027631812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027639169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027640676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342027641452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342028145010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342028158230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342028158935
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342028642587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342028658067
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342028677841
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342028710100
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342028711405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342028712495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342028719809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342028720514
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342028728318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342028728988
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342028839380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342028839965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342029486038
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029487817
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029514825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029517308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342029576335
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342029606023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029611070
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029621195
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029624236
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029631414
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029635226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029638668
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029639507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029639937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029639997
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029640111
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029640256
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029640402
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029640581
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029640770
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029640959
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029641149
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029641296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1342029641479
